userName,score,at,content
Pengguna Google,5,2025-04-12 04:08:29,"game kasual seperti ini memang menyenangkan,tapi beberapa masukan dari setiap pemain dan komunitas berharap game ini terus berkembang walapun hanya game kasual,kami para pemain sangat ingin menambahkan paket pembelian iklan agar tidak ada iklan yang muncul terus terusan,diadakan nya fitur login Facebook atau google untuk menyimpan progres,event event seru,top High score mingguan untuk lebih menantang sedikit agar pemain bisa berkompetisi antara teman dan publik, terimakasih."
Pengguna Google,5,2025-03-30 14:45:35,"Game simple yang membuat ketagihan.Walau banyak game yang menggunakan konsep seperti game block blast,tetapi tetap game ini yang paling mengasikan.Kekurangannya cuma 1,blocknya kurang bervariasi dan polanya itu² aja,apalagi di mode endless."
Pengguna Google,5,2025-04-09 03:55:48,"jika kalian menemukan masalah blok tiba tiba di kasih yang jelek"" itu awalnya jangan kayak di pas pasin, tapi pokoknya fokus membuat blok hilang. itu bakal membantu tetapi akhir akhirnya sama, karena sistem akan merasa dia punya kebanyakan skor sehingga dikasih yg jelek jelek, dah gitu aj bintang 5"
Pengguna Google,5,2025-04-13 14:30:55,"seruu bangett!!!, sampe ketagihan, ini juga game nya offline jadi kalau lagi diluar dan tidak punya pulsa bisa main in inii, pokoknya seruu dehh block blast!, ini juga aku di kasi saran sama temen aku untuk main game ini karena seseru itu dan akhirnya aku download eh beneran seru!"
Pengguna Google,5,2025-03-21 05:22:14,"sumpah ini game populer banget anak² satu desa ku kalo lagi susah sinyal pasti ngumpul ditempat tongkrongan mainnya ini,tapi ada satu kekurangan kalo pas lagi oflline kok tiba² ada iklan tapi gpp tetep seru kok gamenya,semoga bisa berkembang,terus tambahin game m9de online biar bisa by one banyak² kan poin gitu bareng temen..😊😊"
Pengguna Google,3,2025-03-29 18:30:47,"Gamenya enjoy banget emang.., tapi tolong deh developer, masa iya ada momen dimana block-nya bener"" ga bisa di taruh semua (cuma 1 block yg muat ditaruh, itupun cuma di satu tempat, maka ga ada barisan yg bisa hancur, dan otomatis kalah karena ada sisa 2 block). Kalau emang itu fitur gamenya ya okelah, tapi kalau itu terjadi tanpa disengaja ya mohon diperbaiki.. Thanks Developer.. 🙏😇"
Pengguna Google,5,2025-03-22 22:15:57,"Dulu game nya gapernah viral,eh sekarang makin menjadi-jadi karena seru banyak banget yang mainin game ini offline kok cuma kesel aja kalo score nya sudah banyak eh malah gaada tempat untuk nyimpan blok nya. tapi jujur bagus untuk dimainkan saat sedang offline, ga ngelag! ofc game lain disini jg ada yg adventure sama game lainnya oke."
Pengguna Google,5,2025-02-05 14:30:58,"Untuk permainannya cukup seru ada variasi untuk bermain dalam mode bebas dan juga banyak level yang juga membuat para pemain jadi berpikir agar dapat menyelesaikan dengan cepat, tapi tolong tambahkan mode lainnya misalnya seperti mode menghilang di mana saat menaruh blok akan hilang sehingga pemain harus mengingat letak blok yang sebelumnya dipasang, Terimakasih Developer!"
Pengguna Google,5,2025-01-25 08:42:50,"Lumayan sangat susah utk di mode adventure, gamenya memang bagus sih tapi sangat susah di mode tersebut, sedangkan di mode classic (unlimited) sangat gampang tapi utk mengalahkan skor tertinggi aja selalu susah, padahal yg membuat skor tertinggi adalah gw loh, kok bisa kalah terus sama skor gw yg paling tinggi🗿"
Pengguna Google,4,2025-04-13 02:02:28,"Beri fitur Mabar, ketika Mabar menampilkan SCOR teman ketika sedang bermain, pada saat Mabar maka diatara mereka memperebutkan SCOR yang paling tinggi, dan berikan interface dapat berinteraksi dengan teman seperti emote, chat, atau apapun itu, menurut saya itu fitur yang mengasikan dan berpotensi populer pada game tersebut"
Pengguna Google,5,2025-04-13 11:47:35,tambahkan mode baru time jadi harus mendapat kan skor yang harus di capai sebelum waktu habis dan juga membuat gambar dari blok semua harus muat kalo GK buat ya kalah. yaudah itu aja makasih
